Name,Date,Position Name,Total Distance (m),Total Player Load,Velocity Band 5 Total Distance (m),Velocity Band 6 Total Distance (m),Velocity Band 7 Total Distance (m),Velocity Band 8 Total Distance (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m)
USER TVE0MS- 24/01/2024,24/01/2024,EXTREMO,3335.02466,462.22145,139.79,18.86,0,0,17.16,0,10.51,2.56
USER TVE0MS- 25/01/2024,25/01/2024,EXTREMO,5268.02216,622.33501,151.24,93.84,2.73,0,15.38,0,11.04,1.38
USER TVE0MS- 26/01/2024,26/01/2024,EXTREMO,2256.46527,397.04153,24.58,0,0,0,2.8,0,3.63,0
USER TVE0MS- 27/01/2024,27/01/2024,EXTREMO,6151.46216,734.61098,200.64999,32.24,0,0,5.85,0,8.26,0.67
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
